MIN_OR_RANGE_PCT,VOLUME_MULTIPLIER,CONFIRMATION_BARS,INITIAL_STOP_MULTIPLIER,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r_multiple,avg_or_range,avg_holding_time_hours,initial_capital,final_capital
0.0005,1.0,1,0.5,21,3,18,0.14285714285714285,-318.21607117808037,-0.11150811228234671,10.709693214167032,19.463619490032304,26.26238249999915,47.37061000000244,0.0917069340541694,0.1205062531815627,15.029185896866368,-0.7608863544671207,0.0,0.9563492063492063,100000,99888.49188771765
0.0005,1.0,1,0.75,21,3,18,0.14285714285714285,-354.1006252580735,-0.16240199727730942,10.709693214167032,21.457205827809698,26.26238249999915,63.31263499999932,0.08318645416144764,0.12040081185335426,15.028324108464322,-0.628728789749571,0.0,1.2499999999999998,100000,99837.59800272269
0.0005,1.0,1,1.0,21,3,18,0.14285714285714285,-401.9591298455796,-0.18421888756481347,10.709693214167032,24.116011638226706,26.26238249999915,79.2546600000012,0.0740150940298306,0.12036363505892686,15.03371738297295,-0.5687399036990249,0.0,1.5634920634920637,100000,99815.78111243519
0.0005,1.0,2,0.5,21,3,18,0.14285714285714285,-295.3133590489249,-0.10975246435654115,12.074457080000153,18.41870723827363,26.26238249999915,47.37061000000244,0.1092589988699978,0.12033592785616128,15.029324591775515,-0.6896774694285296,0.0,0.9007936507936507,100000,99890.24753564346
0.0005,1.0,2,0.75,21,3,18,0.14285714285714285,-325.75019062892056,-0.16609407185153396,12.074457080000153,20.10964232605117,26.26238249999915,63.31263499999932,0.10007187003651327,0.12021451623248881,15.028462787468042,-0.5620460969769988,0.0,1.111111111111111,100000,99833.90592814847
0.0005,1.0,2,1.0,21,3,18,0.14285714285714285,-366.32465501642343,-0.1951950023389945,12.074457080000153,22.363779236467995,26.26238249999915,79.2546600000012,0.08998521636503094,0.12015871996359545,15.034132028941269,-0.5023117934099711,0.0,1.3571428571428568,100000,99804.804997661
0.0005,1.2,1,0.5,21,3,18,0.14285714285714285,-347.954648848429,-0.1129997799526609,5.670965714167285,20.275974777273934,11.146199999999908,47.37061000000244,0.04661482186398189,0.12119892181702599,15.029185896866368,-0.8292514560160852,0.0,0.8730158730158729,100000,99887.00022004734
0.0005,1.2,1,0.75,21,3,18,0.14285714285714285,-381.0878279284218,-0.16664503994764526,5.670965714167285,22.116706948384646,11.146199999999908,63.31263499999932,0.04273515738880135,0.12108867240406047,15.028324108464322,-0.6745405101424795,0.0,1.1825396825396823,100000,99833.35496005235
0.0005,1.2,1,1.0,21,3,18,0.14285714285714285,-428.9463325159279,-0.18846193023514934,5.670965714167285,24.775512758801653,11.146199999999908,79.2546600000012,0.03814899661462869,0.12105203447473843,15.03371738297295,-0.6059832648098418,0.0,1.4960317460317458,100000,99811.53806976485
0.0005,1.2,2,0.5,19,3,16,0.15789473684210525,-292.1670884867775,-0.09304407876940968,7.035729580000407,19.57964232667367,11.146199999999908,47.37061000000244,0.06737606715383708,0.11484980869482556,15.029324178168086,-0.741582469512978,0.0,0.8771929824561402,100000,99906.95592123059
0.0005,1.2,2,0.75,19,3,16,0.15789473684210525,-315.32940776677253,-0.14761392396436712,7.035729580000407,21.02728728167336,11.146199999999908,63.31263499999932,0.062737493361773,0.11471987156883674,15.028462373908047,-0.5858596383020929,0.0,1.1271929824561402,100000,99852.38607603563
0.0005,1.2,2,1.0,19,3,16,0.15789473684210525,-351.38073485427503,-0.17219171715184348,7.035729580000407,23.280495224642266,11.146199999999908,79.2546600000012,0.05666543101942744,0.11466835945102909,15.034131615248986,-0.5167019064766862,0.0,1.3991228070175437,100000,99827.80828284816
0.0005,1.5,1,0.5,19,2,17,0.10526315789473684,-360.3426477315012,-0.09078724163776497,4.9753868699996815,21.7819659689118,9.544739999998342,47.367529999997714,0.026872672218847992,0.11649597215934279,15.029186345019221,-0.9380754307720552,0.0,0.7719298245614037,100000,99909.21275836224
0.0005,1.5,1,0.75,19,2,17,0.10526315789473684,-399.68312056899754,-0.10407189307532098,4.9753868699996815,24.096111429940994,9.544739999998342,63.30955499999959,0.024291871054237642,0.11646846626093216,15.028324556565781,-0.7652932428890086,0.0,0.9078947368421053,100000,99895.92810692468
0.0005,1.5,1,1.0,19,2,17,0.10526315789473684,-430.5350977564965,-0.15095208036279656,4.9753868699996815,25.910933617440932,9.544739999998342,79.25157999999897,0.022590449283180977,0.116365116012071,15.033269392107467,-0.6505740124277787,0.0,1.0657894736842104,100000,99849.0479196372
0.0005,1.5,2,0.5,16,2,14,0.125,-253.90186995235388,-0.03883782324196363,4.980494370000656,18.84734704945394,9.554955000000291,33.98272890000021,0.03775062844905769,0.10628509569935891,14.887883947676206,-0.8700043467127557,0.0,0.6197916666666667,100000,99961.16217675804
