Metric,Without_Filter,With_Filter
Total Trades,14.0,14.0
Win Rate,0.21428571428571427,0.21428571428571427
Total Return,0.06494715118658496,0.06494715118658496
Sharpe Ratio,0.09515302499959939,0.09515302499959939
Profit Factor,0.15965966713385996,0.15965966713385996
Max Drawdown,14.975246383602753,14.975246383602753
